Original Column,Source Dataset,Source File,Data Type,Mapped Classification,Mapped Entity / Relationship,Description
src_port,Processed_Network_dataset,Network_dataset_9.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
dst_ip,Processed_Network_dataset,Network_dataset_9.csv,str,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dst_port,Processed_Network_dataset,Network_dataset_9.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
proto,Processed_Network_dataset,Network_dataset_9.csv,str,Graph Entity,Protocol,Serves as primary node representation for Protocol
service,Processed_Network_dataset,Network_dataset_9.csv,str,Graph Entity,Service,Serves as primary node representation for Service
duration,Processed_Network_dataset,Network_dataset_9.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_bytes,Processed_Network_dataset,Network_dataset_9.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
dst_bytes,Processed_Network_dataset,Network_dataset_9.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
conn_state,Processed_Network_dataset,Network_dataset_9.csv,str,Graph Entity,Event,Serves as primary node representation for Event
missed_bytes,Processed_Network_dataset,Network_dataset_9.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
src_pkts,Processed_Network_dataset,Network_dataset_9.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
src_ip_bytes,Processed_Network_dataset,Network_dataset_9.csv,int64,Graph Entity,Source IP,Serves as primary node representation for Source IP
dst_pkts,Processed_Network_dataset,Network_dataset_9.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dst_ip_bytes,Processed_Network_dataset,Network_dataset_9.csv,int64,Graph Entity,Destination IP,Serves as primary node representation for Destination IP
dns_query,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_qclass,Processed_Network_dataset,Network_dataset_9.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_qtype,Processed_Network_dataset,Network_dataset_9.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
dns_rcode,Processed_Network_dataset,Network_dataset_9.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_AA,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RD,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_RA,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
dns_rejected,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_version,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_cipher,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_resumed,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_established,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_subject,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
ssl_issuer,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_trans_depth,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_method,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_uri,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_referrer,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_version,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_request_body_len,Processed_Network_dataset,Network_dataset_9.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_response_body_len,Processed_Network_dataset,Network_dataset_9.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
http_status_code,Processed_Network_dataset,Network_dataset_9.csv,int64,Relationship Attribute,Edge Property / Relationship,Defines dynamic interaction or connection property
http_user_agent,Processed_Network_dataset,Network_dataset_9.csv,str,Graph Entity,User,Serves as primary node representation for User
http_orig_mime_types,Processed_Network_dataset,Network_dataset_9.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
http_resp_mime_types,Processed_Network_dataset,Network_dataset_9.csv,str,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
weird_name,Processed_Network_dataset,Network_dataset_9.csv,str,Graph Entity,Event,Serves as primary node representation for Event
weird_addl,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
weird_notice,Processed_Network_dataset,Network_dataset_9.csv,str,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
label,Processed_Network_dataset,Network_dataset_9.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Network_dataset,Network_dataset_9.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor_DPC_Rate,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Processor_pct_ Idle_Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor_pct_ C3_Time,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor_pct_ Interrupt_Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor_pct_ C2_Time,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor_pct_ User_Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Entity,User,Serves as primary node representation for User
Processor_pct_ C1_Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor_pct_ Processor_Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor_C1_ransitions_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Processor_pct_ DPC_Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor_C2_ransitions_sec,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Processor_pct_ Privileged_Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor_C3_ransitions_sec,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Processor_DPCs_Queued_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Processor_Interrupts_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Process_Pool_Paged Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_IO Read_Operations_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_Working_Set_ Private,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process_Working_Set_Peak,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process_IO_Write Operations_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_Page_File Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_pct_ User_Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Entity,User,Serves as primary node representation for User
Process_Virtual_Bytes Peak,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_Page_File Bytes Peak,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_IO_Other_Bytes_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_Private_Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_IO_Write_Bytes_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_Elapsed_Time,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Process_Virtual_Bytes,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_pct_ Processor_Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Process_Creating Process ID,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process_Pool Nonpaged Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_Working Set,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process_Page Faults_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Process_ID Process,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process_IO Other Operations_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process_IO Data Operations_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process_Thread Count,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_pct_ Privileged_Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Process_IO Data Bytes_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_IO Read Bytes_sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Process_Priority Base,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Process_Handle Count,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Entity,Session,Serves as primary node representation for Session
Network_I(Intel R _82574L_GNC)TCP_APS,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(Intel R _82574L_GNC) Packets Received Unknown,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) Bytes Received sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(Intel R _82574L_GNC) Bytes Sent sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(Intel R _82574L_GNC) Packets Outbound Errors,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) Packets Received Discarded,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) Bytes Total sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Network_I(Intel R _82574L_GNC) Packets Outbound Discarded,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) TCP RSC Exceptions sec,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(Intel R _82574L_GNC) Packets Sent Unicast sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) Output Queue Length,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(Intel R _82574L_GNC) Packets Received sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) Current Bandwidth,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(Intel R _82574L_GNC) Packets sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) TCP Active RSC Connections,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(Intel R _82574L_GNC) Packets Sent sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) Packets Received Unicast sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) Packets Sent Non-Unicast sec,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) Packets Received Non-Unicast sec,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) TCP RSC Coalesced Packets sec,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Network_I(Intel R _82574L_GNC) Offloaded Connections,Processed_Windows_dataset,windows10_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Network_I(Intel R _82574L_GNC) Packets Received Errors,Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Memory Pool Paged Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Free & Zero Page List Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Cache Bytes Peak,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory System Code Resident Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Available Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Commit Limit,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Transition Pages RePurposed sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Pages Output sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Page Reads sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Demand Zero Faults sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Memory Available KBytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Pages sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Cache Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Pool Nonpaged Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Page Faults sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Memory Transition Faults sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Memory System Cache Resident Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Long-Term Average Standby Cache Lifetime (s),Processed_Windows_dataset,windows10_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Memory Standby Cache Reserve Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Page Writes sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory System Code Total Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Standby Cache Core Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory System Driver Resident Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Standby Cache Normal Priority Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Pool Paged Allocs,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Pool Nonpaged Allocs,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory pct_ Committed Bytes In Use,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Free System Page Table Entries,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Entity,Host,Serves as primary node representation for Host
Memory Available MBytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Modified Page List Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Cache Faults sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Memory Committed Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory System Driver Total Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Pages Input sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Pool Paged Resident Bytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
Memory Write Copies sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Avg  Disk Bytes Write,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) pct_ Idle Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
LogicalDisk(_Total) Disk Reads sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) pct_ Free Space,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Disk Read Bytes sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Avg  Disk sec Read,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Disk Writes sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Current Disk Queue Length,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Split IO Sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Free Megabytes,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Avg  Disk sec Write,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Disk Bytes sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Avg  Disk Read Queue Length,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) pct_ Disk Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
LogicalDisk(_Total) Avg  Disk Bytes Read,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Avg  Disk Write Queue Length,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Avg  Disk Queue Length,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) pct_ Disk Read Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
LogicalDisk(_Total) Disk Write Bytes sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Disk Transfers sec,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) Avg  Disk Bytes Transfer,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
LogicalDisk(_Total) pct_ Disk Write Time,Processed_Windows_dataset,windows10_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
LogicalDisk(_Total) Avg  Disk sec Transfer,Processed_Windows_dataset,windows10_dataset.csv,float64,Graph Attribute,Node Feature Vector,Numerical telemetry or performance metric for entity
label,Processed_Windows_dataset,windows10_dataset.csv,int64,Graph Entity,Event,Serves as primary node representation for Event
type,Processed_Windows_dataset,windows10_dataset.csv,str,Graph Entity,Event,Serves as primary node representation for Event
ts,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor(_Total) DPC Rate,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Processor(_Total) pct_ Idle Time,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor(_Total) pct_ C3 Time,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor(_Total) pct_ Interrupt Time,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor(_Total) pct_ C2 Time,Processed_Windows_dataset,windows7_dataset.csv,int64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor(_Total) pct_ User Time,Processed_Windows_dataset,windows7_dataset.csv,float64,Graph Entity,User,Serves as primary node representation for User
Processor(_Total) pct_ C1 Time,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor(_Total) pct_ Processor Time,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor(_Total) C1 Transitions sec,Processed_Windows_dataset,windows7_dataset.csv,float64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
Processor(_Total) pct_ DPC Time,Processed_Windows_dataset,windows7_dataset.csv,float64,Metadata Attribute,Temporal / Ground Truth Label,Provides temporal context or security ground-truth label
Processor(_Total) C2 Transitions sec,Processed_Windows_dataset,windows7_dataset.csv,int64,Ignored Attribute,Unmapped,"Constant, redundant or uninformative telemetry attribute"
